case_key,storm_id,aggregation,sample_count,mean_error_km,fde_6h_km,fde_12h_km,fde_18h_km,fde_24h_km,fde_30h_km,fde_36h_km,fde_42h_km,fde_48h_km,fde_54h_km,fde_60h_km,fde_66h_km,fde_72h_km
2019050N05163::forecast_start=48,2019050N05163,ensemble_average,20,122.73,38.255,94.019,64.673,23.684,28.613,69.509,116.65,110.582,120.547,183.258,247.848,375.118
2019195N13136::forecast_start=41,2019195N13136,ensemble_average,20,260.432,12.24,58.93,79.344,76.837,157.425,230.658,272.061,281.661,303.805,437.25,540.234,674.742
2019205N23137::forecast_start=22,2019205N23137,ensemble_average,20,239.384,45.078,29.059,60.61,109.311,140.931,160.593,164.85,212.413,308.805,397.322,540.835,702.802
2019210N16117::forecast_start=37,2019210N16117,ensemble_average,20,134.044,19.46,52.552,58.419,58.824,108.039,92.822,139.629,151.852,144.486,186.676,304.327,291.437
2019213N17155::forecast_start=44,2019213N17155,ensemble_average,20,233.777,27.566,89.827,111.213,167.712,173.807,198.965,204.277,192.643,175.05,258.345,417.626,788.292
2019214N15134::forecast_start=49,2019214N15134,ensemble_average,20,71.426,17.55,30.618,35.936,21.347,21.741,33.564,63.04,61.259,42.261,118.708,185.342,225.745
2019216N16147::forecast_start=52,2019216N16147,ensemble_average,20,88.755,30.277,48.447,35.667,17.232,18.38,90.932,135.755,77.779,69.496,105.745,155.751,279.598
2019231N13135::forecast_start=35,2019231N13135,ensemble_average,20,361.074,18.42,25.202,61.336,106.434,197.471,298.005,314.069,402.444,516.602,638.402,790.102,964.401
2019236N08143::forecast_start=31,2019236N08143,ensemble_average,20,181.185,11.707,48.324,54.26,100.138,81.514,86.32,231.59,227.958,146.732,287.549,400.452,497.673
2019242N18126::forecast_start=38,2019242N18126,ensemble_average,20,142.357,92.404,202.148,136.613,91.417,134.709,97.828,104.944,76.8,137.082,199.959,251.275,183.107
2019255N09162::forecast_start=17,2019255N09162,ensemble_average,20,454.536,27.916,69.456,89.056,144.328,189.553,301.433,436.935,610.881,722.142,854.526,964.339,1043.869
2019260N20129::forecast_start=29,2019260N20129,ensemble_average,20,367.166,94.037,182.939,200.325,200.968,209.716,249.86,283.674,319.966,437.531,663.235,787.788,775.955
2019268N10155::forecast_start=45,2019268N10155,ensemble_average,20,163.579,41.792,144.586,198.692,211.45,214.347,231.694,203.461,186.602,171.775,134.873,114.234,109.439
2019288N16136::forecast_start=33,2019288N16136,ensemble_average,20,694.513,7.407,44.414,131.543,258.014,443.133,530.311,681.497,939.298,1192.179,1350.034,1401.252,1355.069
2019290N08169::forecast_start=39,2019290N08169,ensemble_average,20,274.934,40.093,54.054,97.692,132.961,162.027,194.691,252.948,321.918,408.668,491.751,560.574,581.83
2019306N10162::forecast_start=39,2019306N10162,ensemble_average,20,205.689,17.801,54.898,81.316,126.086,178.832,233.337,241.918,222.528,174.373,244.749,388.829,503.599
2019308N13114::forecast_start=35,2019308N13114,ensemble_average,20,253.061,43.759,96.988,76.618,147.612,163.194,275.385,371.166,338.238,348.488,276.76,339.659,558.865
2019314N12172::forecast_start=39,2019314N12172,ensemble_average,20,772.657,42.917,84.432,148.936,222.179,355.519,478.629,648.702,917.059,1257.374,1567.525,1769.445,1779.171
2019314N14136::forecast_start=50,2019314N14136,ensemble_average,20,190.34,49.569,85.802,76.178,84.035,102.39,161.636,209.952,156.51,291.665,402.039,387.856,276.441
2019322N11144::forecast_start=36,2019322N11144,ensemble_average,20,346.838,53.784,117.204,115.522,70.396,156.135,289.105,528.992,692.332,625.706,482.559,481.921,548.402
2019329N09160::forecast_start=48,2019329N09160,ensemble_average,20,131.533,28.21,63.762,82.514,88.419,93.231,142.919,165.578,142.31,107.352,99.241,187.017,377.842
2019354N05151::forecast_start=42,2019354N05151,ensemble_average,20,179.216,26.153,48.328,38.476,39.256,77.274,104.256,137.777,212.437,295.642,399.593,413.916,357.482
2020129N07134::forecast_start=43,2020129N07134,ensemble_average,20,211.256,10.034,49.634,50.3,47.185,56.486,100.39,120.634,194.012,331.12,479.71,549.558,546.006
